"Program.Link","Program.Length","Delivery.Method","Course.Offerings","College","Location"
"https://lallyschool.rpi.edu/ms-business-analytics","45 credits","Campus","https://lallyschool.rpi.edu/sites/default/files/BSAN%20Fall%202118%20Spring%202119%20Course%20Schedule_May%2030_2018.pdf","Rensselaer Polytechnic Institute","Rensselaer, New York"
"https://broad.msu.edu/masters/business-analytics/","30 credits","Campus","https://broad.msu.edu/masters/business-analytics/curriculum/","Michigan State University","East Lansing, Michigan"
"https://www.stmarys-ca.edu/ms-in-business-analytics","12-18 months","Campus","https://www.stmarys-ca.edu/ms-in-business-analytics/curriculum","Saint Mary’s College of California","Moraga, California"
"https://www.fordham.edu/info/21535/business_analytics","30 credits","Campus","https://www.fordham.edu/info/21535/business_analytics/3316/msba_curriculum","Fordham University","New York City, New York"
"https://gsm.ucdavis.edu/msba-masters-science-business-analytics","40 units","Campus","https://gsm.ucdavis.edu/msba-curriculum-structure","University of California-Davis","Davis, California"
"https://utulsa.edu/business/index.php","30 credits","Campus","https://utulsa.edu/business/index.php","The University of Tulsa","Tulsa, Oklahoma"
"https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics","48 units","Campus","https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics/academics","University of California-Los Angeles","Los Angeles, California"
"https://boston.suffolk.edu/landing/SBSgrad/?program=msba&gclid=Cj0KCQjw08XeBRC0ARIsAP_gaQDJrrHP2xa-LiNNMtB5y0-4HbhUtAqlz1zKztVqH8SvXu3C6Gtb2e4aArOYEALw_wcB","31 credits","Campus","https://boston.suffolk.edu/landing/SBSgrad/?program=msba&gclid=Cj0KCQjw08XeBRC0ARIsAP_gaQDJrrHP2xa-LiNNMtB5y0-4HbhUtAqlz1zKztVqH8SvXu3C6Gtb2e4aArOYEALw_wcB","Suffolk University","Boston, Massachusetts"
"https://www.terry.uga.edu/msba/","33 credits","Campus","https://www.terry.uga.edu/msba/","University of Georgia","Athens, Georgia"
"https://www.stern.nyu.edu/programs-admissions/ms-business-analytics","12 months","Campus","https://www.stern.nyu.edu/programs-admissions/ms-business-analytics/academics/course-index","New York University","New York City, New York"
